HTTrack3.49-2+htsswf+htsjava launched on Tue, 18 Jul 2017 12:42:29 at https://www.rabbitsreviews.com/ https://www.rabbitsreviews.com/Default.aspx +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv
(winhttrack -Wr3%e3C2%Ps2u1k%s%uN0%I0p3DaK0c8H0%kf2A5000000%c10#L5000000%f0#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" -P 192.168.2.229:8080 https://www.rabbitsreviews.com/ https://www.rabbitsreviews.com/Default.aspx -O1 "K:\rabbit\rabbit" +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

13:32:23	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c16/Ebony.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:23	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c16/Ebony.html
13:32:23	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c40/Ethnic.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:23	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c40/Ethnic.html
13:32:23	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c17/Facial-Cum.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:23	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c17/Facial-Cum.html
13:32:23	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c18/FemDom.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:23	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c18/FemDom.html
13:32:23	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c19/Fetish.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:23	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c19/Fetish.html
13:32:23	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c60/Foot.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:23	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c60/Foot.html
13:32:24	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c50/For-Women.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:24	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c50/For-Women.html
13:32:24	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c45/Gang-Bangs.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:24	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c45/Gang-Bangs.html
13:32:24	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c22/Hairy.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:24	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c22/Hairy.html
13:32:24	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c52/Handjobs.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:24	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c52/Handjobs.html
13:32:24	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c8/Hardcore.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:24	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c8/Hardcore.html
13:32:24	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c54/Indian.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:24	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c54/Indian.html
13:32:24	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c38/Individual-Models.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:24	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c38/Individual-Models.html
13:32:25	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c23/Interracial.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:25	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c23/Interracial.html
13:32:25	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c24/Latina.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:25	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c24/Latina.html
13:32:25	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c39/Lingerie.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:25	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c39/Lingerie.html
13:32:25	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c64/Masturbation.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:25	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c64/Masturbation.html
13:32:25	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c33/Mega-Site.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:25	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c33/Mega-Site.html
13:32:25	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c44/Monster-Cocks.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:25	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c44/Monster-Cocks.html
13:32:25	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c26/Movies.html (from https://www.rabbitsreviews.com/Default.aspx)
